microplastics_measurement,unit,concentration_class_range,mesh_size_mm,lat,lon
0.0,pieces/m3,0-0.0005,0.335,45.28,-60.29
0.002276,pieces/m3,0.0005-0.005,0.335,40.93,-70.65
0.00432,pieces/m3,0.0005-0.005,0.335,40.93,-70.65
0.0,pieces/m3,0-0.0005,0.335,40.3,-69.77
0.0,pieces/m3,0-0.0005,0.335,39.88,-67.15
0.043196,pieces/m3,0.005-1,0.335,37.83,-63.73
0.535636,pieces/m3,0.005-1,0.335,37.83,-63.73
0.069116,pieces/m3,0.005-1,0.335,36.9,-63.38
0.084232,pieces/m3,0.005-1,0.335,36.9,-63.38
0.299496,pieces/m3,0.005-1,0.335,35.7,-61.98
0.01152,pieces/m3,0.005-1,0.335,34.7,-61.98
0.035992,pieces/m3,0.005-1,0.335,34.87,-57.38
0.00864,pieces/m3,0.005-1,0.335,34.87,-57.38
0.028232,pieces/m3,0.005-1,0.335,32.65,-57.2
0.151188,pieces/m3,0.005-1,0.335,32.65,-57.2
0.0368,pieces/m3,0.005-1,0.335,22.9,-59.27
0.011628,pieces/m3,0.005-1,0.335,22.9,-59.27
0.0,pieces/m3,0-0.0005,0.335,17.8,-64.32
0.0,pieces/m3,0-0.0005,0.335,17.0,-63.72
0.00576,pieces/m3,0.005-1,0.335,17.0,-63.72
0.00432,pieces/m3,0.0005-0.005,0.335,16.47,-63.63
0.00648,pieces/m3,0.005-1,0.335,16.47,-63.63
0.00216,pieces/m3,0.0005-0.005,0.335,16.63,-63.5
0.00432,pieces/m3,0.0005-0.005,0.335,16.63,-63.5
0.0,pieces/m3,0-0.0005,0.335,16.6,-63.07
0.0036,pieces/m3,0.0005-0.005,0.335,16.6,-63.07
0.01512,pieces/m3,0.005-1,0.335,16.97,-62.68
0.0,pieces/m3,0-0.0005,0.335,16.97,-62.68
0.00648,pieces/m3,0.005-1,0.335,16.08,-62.2
0.0108,pieces/m3,0.005-1,0.335,16.08,-62.2
0.0,pieces/m3,0-0.0005,0.335,15.55,-62.17
0.00864,pieces/m3,0.005-1,0.335,15.55,-62.17
0.0,pieces/m3,0-0.0005,0.335,15.1,-61.98
0.0,pieces/m3,0-0.0005,0.335,13.98,-61.7
0.0,pieces/m3,0-0.0005,0.335,12.22,-61.77
0.00648,pieces/m3,0.005-1,0.335,12.22,-61.77
0.0,pieces/m3,0-0.0005,0.335,12.48,-61.47
0.0,pieces/m3,0-0.0005,0.335,12.65,-62.57
0.00216,pieces/m3,0.0005-0.005,0.335,12.65,-62.57
0.0,pieces/m3,0-0.0005,0.335,13.05,-63.12
0.008232,pieces/m3,0.005-1,0.335,13.5,-63.35
0.0,pieces/m3,0-0.0005,0.335,13.5,-63.35
0.0,pieces/m3,0-0.0005,0.335,14.68,-64.43
0.0,pieces/m3,0-0.0005,0.335,15.8,-65.3
0.00432,pieces/m3,0.0005-0.005,0.335,16.48,-65.9
0.0027,pieces/m3,0.0005-0.005,0.335,16.6,-66.1
0.0,pieces/m3,0-0.0005,0.335,16.6,-66.1
0.0108,pieces/m3,0.005-1,0.335,17.23,-66.87
0.00432,pieces/m3,0.0005-0.005,0.335,17.23,-66.87
0.0,pieces/m3,0-0.0005,0.335,17.9,-67.62
0.0,pieces/m3,0-0.0005,0.335,17.9,-67.82
0.0,pieces/m3,0-0.0005,0.335,18.03,-68.42
0.0,pieces/m3,0-0.0005,0.335,17.4,-68.78
0.00432,pieces/m3,0.0005-0.005,0.335,17.87,-70.4
0.0,pieces/m3,0-0.0005,0.335,17.87,-70.4
0.0,pieces/m3,0-0.0005,0.335,16.68,-71.35
0.0,pieces/m3,0-0.0005,0.335,17.35,-72.5
0.0,pieces/m3,0-0.0005,0.335,16.22,-74.47
0.00648,pieces/m3,0.005-1,0.335,16.25,-74.98
0.00432,pieces/m3,0.0005-0.005,0.335,16.25,-74.98
0.0,pieces/m3,0-0.0005,0.335,16.48,-76.0
0.0,pieces/m3,0-0.0005,0.335,16.88,-77.5
0.0216,pieces/m3,0.005-1,0.335,26.28,-78.62
0.0,pieces/m3,0-0.0005,0.335,25.37,-76.0
0.0,pieces/m3,0-0.0005,0.335,22.27,-73.75
0.049676,pieces/m3,0.005-1,0.335,22.8,-73.8
0.0,pieces/m3,0-0.0005,0.335,22.86,-73.86
0.00648,pieces/m3,0.005-1,0.335,23.17,-73.78
0.00432,pieces/m3,0.0005-0.005,0.335,23.17,-73.78
0.0,pieces/m3,0-0.0005,0.335,23.63,-73.75
0.0,pieces/m3,0-0.0005,0.335,24.03,-74.04
0.001168,pieces/m3,0.0005-0.005,0.335,24.22,-74.4
0.00648,pieces/m3,0.005-1,0.335,24.22,-74.4
0.0,pieces/m3,0-0.0005,0.335,24.91,-74.4
0.00864,pieces/m3,0.005-1,0.335,24.78,-74.37
0.00864,pieces/m3,0.005-1,0.335,24.83,-74.42
0.0,pieces/m3,0-0.0005,0.335,24.83,-74.42
0.00648,pieces/m3,0.005-1,0.335,25.58,-74.8
0.028076,pieces/m3,0.005-1,0.335,25.58,-74.8
0.058316,pieces/m3,0.005-1,0.335,26.14,-74.87
0.069116,pieces/m3,0.005-1,0.335,26.14,-74.87
0.018,pieces/m3,0.005-1,0.335,26.58,-75.04
0.0,pieces/m3,0-0.0005,0.335,27.4,-74.08
0.0,pieces/m3,0-0.0005,0.335,28.45,-71.93
0.064796,pieces/m3,0.005-1,0.335,28.74,-71.72
0.0,pieces/m3,0-0.0005,0.335,29.14,-71.19
0.028076,pieces/m3,0.005-1,0.335,30.5,-69.13
0.794816,pieces/m3,0.005-1,0.335,31.16,-67.29
0.025916,pieces/m3,0.005-1,0.335,31.72,-65.07
0.0,pieces/m3,0-0.0005,0.335,44.55,-62.69
0.0,pieces/m3,0-0.0005,0.335,42.9,-64.04
0.00216,pieces/m3,0.0005-0.005,0.335,42.9,-64.04
0.0,pieces/m3,0-0.0005,0.335,42.71,-65.39
0.0,pieces/m3,0-0.0005,0.335,42.74,-70.31
0.00216,pieces/m3,0.0005-0.005,0.335,41.3,-68.74
0.0,pieces/m3,0-0.0005,0.335,41.3,-68.74
0.00432,pieces/m3,0.0005-0.005,0.335,17.98,-63.98
0.025916,pieces/m3,0.005-1,0.335,18.47,-64.45
0.01296,pieces/m3,0.005-1,0.335,26.42,-78.7
0.0,pieces/m3,0-0.0005,0.335,26.42,-78.7
0.0,pieces/m3,0-0.0005,0.335,25.87,-79.97
0.0,pieces/m3,0-0.0005,0.335,25.65,-76.72
0.0,pieces/m3,0-0.0005,0.335,24.55,-76.1
0.016612,pieces/m3,0.005-1,0.335,24.55,-76.1
0.0108,pieces/m3,0.005-1,0.335,24.46,-76.27
0.00432,pieces/m3,0.0005-0.005,0.335,24.46,-76.27
0.0108,pieces/m3,0.005-1,0.335,24.75,-75.87
0.0,pieces/m3,0-0.0005,0.335,24.75,-75.87
0.025916,pieces/m3,0.005-1,0.335,25.18,-75.5
0.0216,pieces/m3,0.005-1,0.335,25.18,-75.5
0.029696,pieces/m3,0.005-1,0.335,25.58,-75.0
0.032396,pieces/m3,0.005-1,0.335,25.58,-75.0
0.01728,pieces/m3,0.005-1,0.335,26.28,-74.82
0.02638,pieces/m3,0.005-1,0.335,26.28,-74.82
0.00166,pieces/m3,0.0005-0.005,0.335,26.85,-74.42
0.077752,pieces/m3,0.005-1,0.335,26.85,-74.42
0.133908,pieces/m3,0.005-1,0.335,27.9,-74.37
0.090712,pieces/m3,0.005-1,0.335,27.9,-74.37
0.015432,pieces/m3,0.005-1,0.335,28.48,-73.48
0.0,pieces/m3,0-0.0005,0.335,28.48,-73.48
0.125268,pieces/m3,0.005-1,0.335,29.44,-71.97
0.0108,pieces/m3,0.005-1,0.335,29.44,-71.97
0.081028,pieces/m3,0.005-1,0.335,29.83,-70.88
0.01944,pieces/m3,0.005-1,0.335,29.83,-70.88
0.057596,pieces/m3,0.005-1,0.335,30.12,-70.5
0.127428,pieces/m3,0.005-1,0.335,30.12,-70.5
0.0108,pieces/m3,0.005-1,0.335,30.97,-69.62
0.0216,pieces/m3,0.005-1,0.335,30.97,-69.62
0.051836,pieces/m3,0.005-1,0.335,31.0,-68.78
0.043196,pieces/m3,0.005-1,0.335,31.0,-68.78
0.075592,pieces/m3,0.005-1,0.335,31.32,-67.87
0.01728,pieces/m3,0.005-1,0.335,31.32,-67.87
0.045356,pieces/m3,0.005-1,0.335,31.43,-67.13
0.023684,pieces/m3,0.005-1,0.335,31.43,-67.13
0.077752,pieces/m3,0.005-1,0.335,32.08,-65.2
0.024308,pieces/m3,0.005-1,0.335,32.08,-65.2
0.0,pieces/m3,0-0.0005,0.335,33.73,-64.85
0.060476,pieces/m3,0.005-1,0.335,33.73,-64.85
0.00648,pieces/m3,0.005-1,0.335,34.95,-64.75
0.0072,pieces/m3,0.005-1,0.335,34.95,-64.75
0.039604,pieces/m3,0.005-1,0.335,34.45,-65.72
0.034556,pieces/m3,0.005-1,0.335,34.45,-65.72
0.00648,pieces/m3,0.005-1,0.335,39.31,-66.02
0.028076,pieces/m3,0.005-1,0.335,39.31,-66.02
0.00216,pieces/m3,0.0005-0.005,0.335,43.77,-63.98
0.0,pieces/m3,0-0.0005,0.335,43.77,-63.98
0.00432,pieces/m3,0.0005-0.005,0.335,41.01,-70.59
0.0,pieces/m3,0-0.0005,0.335,41.01,-70.59
0.00432,pieces/m3,0.0005-0.005,0.335,41.6,-69.21
0.00216,pieces/m3,0.0005-0.005,0.335,41.6,-69.21
0.0,pieces/m3,0-0.0005,0.335,42.66,-70.42
0.00216,pieces/m3,0.0005-0.005,0.335,41.91,-69.5
0.0,pieces/m3,0-0.0005,0.335,40.77,-68.69
0.00432,pieces/m3,0.0005-0.005,0.335,40.77,-68.69
0.0,pieces/m3,0-0.0005,0.335,41.03,-70.81
0.0,pieces/m3,0-0.0005,0.335,40.98,-70.62
0.00216,pieces/m3,0.0005-0.005,0.335,40.18,-70.2
0.024108,pieces/m3,0.005-1,0.335,38.82,-69.28
0.0,pieces/m3,0-0.0005,0.335,38.82,-69.28
0.149028,pieces/m3,0.005-1,0.335,38.18,-68.52
0.047516,pieces/m3,0.005-1,0.335,38.18,-68.52
0.0,pieces/m3,0-0.0005,0.335,37.47,-66.97
0.01944,pieces/m3,0.005-1,0.335,37.47,-66.97
0.153348,pieces/m3,0.005-1,0.335,37.18,-66.13
0.356372,pieces/m3,0.005-1,0.335,37.18,-66.13
0.047516,pieces/m3,0.005-1,0.335,36.87,-65.08
0.051836,pieces/m3,0.005-1,0.335,36.87,-65.08
0.092872,pieces/m3,0.005-1,0.335,36.23,-64.02
0.047516,pieces/m3,0.005-1,0.335,36.23,-64.02
0.075592,pieces/m3,0.005-1,0.335,35.95,-63.82
0.0216,pieces/m3,0.005-1,0.335,35.95,-63.82
0.071276,pieces/m3,0.005-1,0.335,35.88,-58.98
0.073436,pieces/m3,0.005-1,0.335,35.88,-58.98
0.146868,pieces/m3,0.005-1,0.335,35.17,-58.58
0.0108,pieces/m3,0.005-1,0.335,35.17,-58.58
0.036716,pieces/m3,0.005-1,0.335,35.88,-58.03
0.02376,pieces/m3,0.005-1,0.335,35.88,-58.03
0.028076,pieces/m3,0.005-1,0.335,31.27,-57.37
0.084232,pieces/m3,0.005-1,0.335,31.27,-57.37
0.060476,pieces/m3,0.005-1,0.335,29.97,-57.38
0.066956,pieces/m3,0.005-1,0.335,29.97,-57.38
0.079912,pieces/m3,0.005-1,0.335,29.42,-57.48
0.041036,pieces/m3,0.005-1,0.335,29.42,-57.48
0.058316,pieces/m3,0.005-1,0.335,28.78,-57.3
0.120952,pieces/m3,0.005-1,0.335,28.78,-57.3
0.00864,pieces/m3,0.005-1,0.335,26.1,-57.6
0.032396,pieces/m3,0.005-1,0.335,26.1,-57.6
0.0,pieces/m3,0-0.0005,0.335,24.8,-57.9
0.01944,pieces/m3,0.005-1,0.335,24.8,-57.9
0.0108,pieces/m3,0.005-1,0.335,24.07,-58.13
0.0,pieces/m3,0-0.0005,0.335,22.98,-58.13
0.00864,pieces/m3,0.005-1,0.335,22.98,-58.13
0.0,pieces/m3,0-0.0005,0.335,22.05,-58.63
0.0,pieces/m3,0-0.0005,0.335,21.52,-58.9
0.045356,pieces/m3,0.005-1,0.335,21.37,-58.67
0.01944,pieces/m3,0.005-1,0.335,21.37,-58.67
0.01728,pieces/m3,0.005-1,0.335,20.68,-58.57
0.00432,pieces/m3,0.0005-0.005,0.335,20.68,-58.57
0.00216,pieces/m3,0.0005-0.005,0.335,19.27,-58.58
0.0,pieces/m3,0-0.0005,0.335,19.27,-58.58
0.00864,pieces/m3,0.005-1,0.335,17.43,-59.02
0.0,pieces/m3,0-0.0005,0.335,17.43,-59.02
0.0,pieces/m3,0-0.0005,0.335,15.95,-60.05
0.0,pieces/m3,0-0.0005,0.335,14.18,-60.75
0.0,pieces/m3,0-0.0005,0.335,13.97,-61.22
0.00216,pieces/m3,0.0005-0.005,0.335,13.7,-61.2
0.0,pieces/m3,0-0.0005,0.335,13.7,-61.2
0.00216,pieces/m3,0.0005-0.005,0.335,13.12,-61.55
0.0108,pieces/m3,0.005-1,0.335,13.12,-61.55
0.0,pieces/m3,0-0.0005,0.335,12.0,-61.5
0.0,pieces/m3,0-0.0005,0.335,12.25,-61.77
