sci_name,presence,origin,seasonal,lon,lat,redlistCategory
Hubbsina turneri,1,1,1,-101.4795,19.8745,CR
Hubbsina turneri,1,1,1,-101.7773,19.8256,CR
Hubbsina turneri,1,1,1,-101.7876,19.8273,CR
Ictalurus mexicanus,1,1,1,-99.35417,21.98083,VU
Ictalurus mexicanus,1,1,1,-99.3,22.0,VU
Ameca splendens,1,1,1,-104.0793,20.9014,CR
Ameca splendens,1,1,1,-103.845,20.6801,CR
Ameca splendens,1,1,1,-103.8433,20.681,CR
Ameca splendens,1,1,1,-103.8431,20.6761,CR
Ameca splendens,1,1,1,-103.8427,20.6758,CR
Ameca splendens,1,1,1,-103.8415,20.6896,CR
Ameca splendens,1,1,1,-103.8417,20.6897,CR
Ameca splendens,1,1,1,-103.844,20.6814,CR
Ameca splendens,4,1,1,-103.5148,19.955,CR
Ameca splendens,4,1,1,-103.927,20.5626,CR
Lucania interioris,1,1,1,-102.0999985,26.9333324,EN
Lucania interioris,1,1,1,-102.107245,26.91516,EN
Lucania interioris,1,1,1,-101.393412,27.221793,EN
Lucania interioris,1,1,1,-98.14317,27.657163,EN
Lucania interioris,1,1,1,-102.07849,26.8704,EN
Lucania interioris,1,1,1,-102.0396,26.91401,EN
Lucania interioris,3,1,1,-102.035469,26.910114,EN
Lucania interioris,3,1,1,-102.16,26.75222222,EN
Lucania interioris,3,1,1,-102.16,26.91666667,EN
Lucania interioris,3,1,1,-102.1,26.93333333,EN
Notropis aguirrepequenoi,1,1,1,-98.453525,24.570522,VU
Notropis aguirrepequenoi,1,1,1,-99.87,25.18,VU
Notropis aguirrepequenoi,1,1,1,-99.03444444,23.17277778,VU
Notropis aguirrepequenoi,1,1,1,-98.95111111,23.00055556,VU
Ophisternon infernale,1,1,1,-89.29638889,20.67833333,EN
Ophisternon infernale,1,1,1,-89.16833333,20.66972222,EN
Ophisternon infernale,1,1,1,-89.03555556,20.79611111,EN
Ophisternon infernale,1,1,1,-88.7175,20.115,EN
Ophisternon infernale,1,1,1,-88.02,19.47,EN
Ophisternon infernale,1,1,1,-89.5,20.83,EN
Ophisternon infernale,1,1,1,-89.33,20.75,EN
Ophisternon infernale,1,1,1,-89.31,20.43,EN
Ophisternon infernale,1,1,1,-88.79,19.93,EN
Ophisternon infernale,1,1,1,-88.53,20.67,EN
Ophisternon infernale,1,1,1,-87.5,20.2,EN
Ophisternon infernale,1,1,1,-87.37,20.32,EN
Ophisternon infernale,1,1,1,-89.33,20.87,EN
Ophisternon infernale,5,1,1,-89.74,20.49,EN
Glyptothorax nelsoni,1,1,1,85.369363,23.350425,EN
Tlaloc hildebrandi,1,1,1,-92.105793,16.695392,EN
Tlaloc hildebrandi,1,1,1,-92.038653,16.872258,EN
Tlaloc hildebrandi,1,1,1,-92.016711,16.687116,EN
Tlaloc hildebrandi,1,1,1,-92.21189,16.95987,EN
Tlaloc hildebrandi,1,1,1,-92.18469,16.942743,EN
Tlaloc hildebrandi,1,1,1,-92.005257,16.857827,EN
Tlaloc hildebrandi,1,1,1,-92.63056,16.9025,EN
Tlaloc hildebrandi,1,1,1,-92.61667,16.74667,EN
