DOI,Year,Species,Organism Group,Environment,Life Stage,In vitro/in vivo,Sex,Estimated Body Length (cm),Estimated Maximum Ingestible Size (mm),Experiment Type,Exposure Route,Particle Mix?,Negative Control,Reference Particle,Exposure Media,Solvent,Detergent,Temperature (Avg),Exposure Duration (days),Acute/Chronic,Number of Doses,Replicates,Sample Size,Dosing Frequency,Chemicals Added,Plotted Dose Values,Dose Metric,Alignment,Effect,Broad Endpoint Category,Specific Endpoint Category,Endpoint,Level of Biological Organization,Target Cell or Tissue,Effect Metric,Polymer,Shape,Density (g/cm^3),"Density, reported or estimated",Charge,Zeta Potential (mV),Zeta Potential Media,Functional Group,Particle Length (μm),Particle Width (μm),Size Category,Particle Surface Area (μm^2),Particle Volume (μm^3),Particle Mass (mg),Weathered or Biofouled?,Size Validated?,Polymer Validated?,Shape Validated,Particle Source,Sodium Azide Present?,Screened for Chemical Contamination?,Particle Cleaning?,Solvent Rinse,Background Contamination Monitored?,Concentration Validated?,Particle Behavior,Uptake Validated?,Organisms Fed?,zeta_missing,zeta_imputed_by_group,zeta_imputed_by_global,charge_missing,in_vitro_flag,particle_mass_missing,particle_mass_imputed_by_group,particle_mass_imputed_by_global,particle_volume_missing,particle_length_missing,sample_size_missing,estimated_max_ingestible_missing,estimated_body_length_missing
10.7717/peerj.4601,2018,Daphnia magna,Crustacea,Freshwater,adult,In Vivo,unknown,0.5,0.3411205482812773,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8.0,1.0,2.0,Not Reported,0.00139,µg/mL,Unaligned,Yes,Fitness,Mortality,Mortality,Organism,Not Reported,not_reported,Polystyrene,Sphere,1.05,reported,unknown,-12.4,not_reported,COOH,2.0,2.0,1µm < 100µm,12.566370614359172,4.188790204786391,4.3982297150257105e-09,No,no,no,no,commercial,no,no,unknown,unknown,no,no,Not Evaluated,yes,yes,1,1,0,1,False,0,0,0,0,0,0,0,0
10.7717/peerj.4601,2018,Daphnia magna,Crustacea,Freshwater,adult,In Vivo,unknown,0.5,0.3411205482812773,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8.0,1.0,2.0,Not Reported,0.0111,µg/mL,Unaligned,Yes,Fitness,Mortality,Mortality,Organism,Not Reported,not_reported,Polystyrene,Sphere,1.05,reported,unknown,-12.4,not_reported,COOH,2.0,2.0,1µm < 100µm,12.566370614359172,4.188790204786391,4.3982297150257105e-09,No,no,no,no,commercial,no,no,unknown,unknown,no,no,Not Evaluated,yes,yes,1,1,0,1,False,0,0,0,0,0,0,0,0
10.7717/peerj.4601,2018,Daphnia magna,Crustacea,Freshwater,adult,In Vivo,unknown,0.5,0.3411205482812773,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8.0,1.0,2.0,Not Reported,0.00139,µg/mL,Unaligned,No,Fitness,Reproduction,Number of Offspring,Organism,Not Reported,not_reported,Polystyrene,Sphere,1.05,reported,unknown,-12.4,not_reported,COOH,2.0,2.0,1µm < 100µm,12.566370614359172,4.188790204786391,4.3982297150257105e-09,No,no,no,no,commercial,no,no,unknown,unknown,no,no,Not Evaluated,yes,yes,1,1,0,1,False,0,0,0,0,0,0,0,0
10.7717/peerj.4601,2018,Daphnia magna,Crustacea,Freshwater,adult,In Vivo,unknown,0.5,0.3411205482812773,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8.0,1.0,2.0,Not Reported,0.0111,µg/mL,Unaligned,No,Fitness,Reproduction,Number of Offspring,Organism,Not Reported,not_reported,Polystyrene,Sphere,1.05,reported,unknown,-12.4,not_reported,COOH,2.0,2.0,1µm < 100µm,12.566370614359172,4.188790204786391,4.3982297150257105e-09,No,no,no,no,commercial,no,no,unknown,unknown,no,no,Not Evaluated,yes,yes,1,1,0,1,False,0,0,0,0,0,0,0,0
10.7717/peerj.4601,2018,Daphnia magna,Crustacea,Freshwater,early,In Vivo,unknown,0.08,0.0615852000993974,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8.0,1.0,2.0,Not Reported,0.00139,µg/mL,Unaligned,Yes,Fitness,Mortality,Mortality,Organism,Not Reported,not_reported,Polystyrene,Sphere,1.05,reported,unknown,-12.4,not_reported,COOH,2.0,2.0,1µm < 100µm,12.566370614359172,4.188790204786391,4.3982297150257105e-09,No,no,no,no,commercial,no,no,unknown,unknown,no,no,Not Evaluated,yes,yes,1,1,0,1,False,0,0,0,0,0,0,0,0
10.7717/peerj.4601,2018,Daphnia magna,Crustacea,Freshwater,early,In Vivo,unknown,0.08,0.0615852000993974,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8.0,1.0,2.0,Not Reported,0.0111,µg/mL,Unaligned,No,Fitness,Mortality,Mortality,Organism,Not Reported,not_reported,Polystyrene,Sphere,1.05,reported,unknown,-12.4,not_reported,COOH,2.0,2.0,1µm < 100µm,12.566370614359172,4.188790204786391,4.3982297150257105e-09,No,no,no,no,commercial,no,no,unknown,unknown,no,no,Not Evaluated,yes,yes,1,1,0,1,False,0,0,0,0,0,0,0,0
10.7717/peerj.4601,2018,Daphnia magna,Crustacea,Freshwater,early,In Vivo,unknown,0.08,0.0615852000993974,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8.0,1.0,2.0,Not Reported,0.00139,µg/mL,Unaligned,No,Fitness,Reproduction,Number of Offspring,Organism,Not Reported,not_reported,Polystyrene,Sphere,1.05,reported,unknown,-12.4,not_reported,COOH,2.0,2.0,1µm < 100µm,12.566370614359172,4.188790204786391,4.3982297150257105e-09,No,no,no,no,commercial,no,no,unknown,unknown,no,no,Not Evaluated,yes,yes,1,1,0,1,False,0,0,0,0,0,0,0,0
10.7717/peerj.4601,2018,Daphnia magna,Crustacea,Freshwater,early,In Vivo,unknown,0.08,0.0615852000993974,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8.0,1.0,2.0,Not Reported,0.0111,µg/mL,Unaligned,No,Fitness,Reproduction,Number of Offspring,Organism,Not Reported,not_reported,Polystyrene,Sphere,1.05,reported,unknown,-12.4,not_reported,COOH,2.0,2.0,1µm < 100µm,12.566370614359172,4.188790204786391,4.3982297150257105e-09,No,no,no,no,commercial,no,no,unknown,unknown,no,no,Not Evaluated,yes,yes,1,1,0,1,False,0,0,0,0,0,0,0,0
10.7717/peerj.4601,2018,Daphnia magna,Crustacea,Freshwater,early,In Vivo,unknown,0.08,0.0615852000993974,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8.0,1.0,2.0,Not Reported,0.00139,µg/mL,Unaligned,Yes,Fitness,Growth,Length,Organism,Not Reported,not_reported,Polystyrene,Sphere,1.05,reported,unknown,-12.4,not_reported,COOH,2.0,2.0,1µm < 100µm,12.566370614359172,4.188790204786391,4.3982297150257105e-09,No,no,no,no,commercial,no,no,unknown,unknown,no,no,Not Evaluated,yes,yes,1,1,0,1,False,0,0,0,0,0,0,0,0
10.7717/peerj.4601,2018,Daphnia magna,Crustacea,Freshwater,early,In Vivo,unknown,0.08,0.0615852000993974,Particle Only,water,No,Y,N,artificial_medium,Not Reported,Not Reported,20.0,21.0,Chronic,2,8.0,1.0,2.0,Not Reported,0.0111,µg/mL,Unaligned,No,Fitness,Growth,Length,Organism,Not Reported,not_reported,Polystyrene,Sphere,1.05,reported,unknown,-12.4,not_reported,COOH,2.0,2.0,1µm < 100µm,12.566370614359172,4.188790204786391,4.3982297150257105e-09,No,no,no,no,commercial,no,no,unknown,unknown,no,no,Not Evaluated,yes,yes,1,1,0,1,False,0,0,0,0,0,0,0,0
10.1002/etc.3093,2015,Hyalella azteca,Crustacea,Freshwater,early,In Vivo,unknown,0.78,0.5167798462293837,Particle Only,water,No,Y,N,water,ethanol,Not Reported,25.0,10.0,Acute,5,3.0,10.0,2.0,Not Reported,0.005993938,µg/mL,Unaligned,No,Fitness,Mortality,Mortality,Organism,Not Reported,not_reported,Polyethylene,Fragment,1.13,reported,unknown,-12.4,not_reported,not_reported,18.5,14.245,1µm < 100µm,616.910680329463,1316.9523468830932,1.4881561519778952e-06,No,yes,no,yes,commercial,unknown,no,unknown,unknown,no,yes,Not Evaluated,yes,yes,1,0,1,1,False,0,0,0,0,0,0,0,0
10.1002/etc.3093,2015,Hyalella azteca,Crustacea,Freshwater,early,In Vivo,unknown,0.78,0.5167798462293837,Particle Only,water,No,Y,N,water,ethanol,Not Reported,25.0,10.0,Acute,5,3.0,10.0,2.0,Not Reported,0.059939378,µg/mL,Unaligned,No,Fitness,Mortality,Mortality,Organism,Not Reported,not_reported,Polyethylene,Fragment,1.13,reported,unknown,-12.4,not_reported,not_reported,18.5,14.245,1µm < 100µm,616.910680329463,1316.9523468830932,1.4881561519778952e-06,No,yes,no,yes,commercial,unknown,no,unknown,unknown,no,yes,Not Evaluated,yes,yes,1,0,1,1,False,0,0,0,0,0,0,0,0
10.1002/etc.3093,2015,Hyalella azteca,Crustacea,Freshwater,early,In Vivo,unknown,0.78,0.5167798462293837,Particle Only,water,No,Y,N,water,ethanol,Not Reported,25.0,10.0,Acute,5,3.0,10.0,2.0,Not Reported,0.599393782,µg/mL,Unaligned,No,Fitness,Mortality,Mortality,Organism,Not Reported,NOEC,Polyethylene,Fragment,1.13,reported,unknown,-12.4,not_reported,not_reported,18.5,14.245,1µm < 100µm,616.910680329463,1316.9523468830932,1.4881561519778952e-06,No,yes,no,yes,commercial,unknown,no,unknown,unknown,no,yes,Not Evaluated,yes,yes,1,0,1,1,False,0,0,0,0,0,0,0,0
10.1002/etc.3093,2015,Hyalella azteca,Crustacea,Freshwater,early,In Vivo,unknown,0.78,0.5167798462293837,Particle Only,water,No,Y,N,water,ethanol,Not Reported,25.0,10.0,Acute,5,3.0,10.0,2.0,Not Reported,5.993937824,µg/mL,Unaligned,Yes,Fitness,Mortality,Mortality,Organism,Not Reported,LOEC,Polyethylene,Fragment,1.13,reported,unknown,-12.4,not_reported,not_reported,18.5,14.245,1µm < 100µm,616.910680329463,1316.9523468830932,1.4881561519778952e-06,No,yes,no,yes,commercial,unknown,no,unknown,unknown,no,yes,Not Evaluated,yes,yes,1,0,1,1,False,0,0,0,0,0,0,0,0
